pi+Sigma-			pi-Sigma+			pi0Sigma0				f(1)^2/2+f(0)^2/3	f(0)^2/3	f(1)^2/2		
1522.82296	5.25E-01		1522.82296	1.76E+00		1522.82296	1.01E+00		1522.82296	1.1425495	1.01E+00	1.33E-01	0.131405159182057	1.23E+00
1525.12565	4.63E-01		1525.12565	1.61E+00		1525.12565	9.13E-01		1525.12565	1.035032	9.13E-01	1.22E-01	0.133510235773791	1.14E+00
1527.42833	4.11E-01		1527.42833	1.47E+00		1527.42833	8.29E-01		1527.42833	0.9408965	8.29E-01	1.12E-01	0.135635229083184	1.06E+00
1529.73102	3.69E-01		1529.73102	1.35E+00		1529.73102	7.55E-01		1529.73102	0.8588245	7.55E-01	1.03E-01	0.136952688337168	9.79E-01
1532.03371	3.34E-01		1532.03371	1.24E+00		1532.03371	6.92E-01		1532.03371	0.788536	6.92E-01	9.63E-02	0.139078204946711	9.09E-01
1534.33639	3.05E-01		1534.33639	1.15E+00		1534.33639	6.37E-01		1534.33639	0.727027	6.37E-01	9.00E-02	0.141284878929398	8.45E-01
1536.63908	2.79E-01		1536.63908	1.06E+00		1536.63908	5.87E-01		1536.63908	0.6707445	5.87E-01	8.35E-02	0.142231315871483	7.83E-01
1538.94177	2.57E-01		1538.94177	9.88E-01		1538.94177	5.44E-01		1538.94177	0.622183	5.44E-01	7.87E-02	0.144730910970914	7.31E-01
1541.24445	2.37E-01		1541.24445	9.20E-01		1541.24445	5.04E-01		1541.24445	0.5782465	5.04E-01	7.43E-02	0.147410101635454	6.83E-01
1543.54714	2.19E-01		1543.54714	8.59E-01		1543.54714	4.68E-01		1543.54714	0.538751	4.68E-01	7.03E-02	0.150078877653182	6.40E-01
1545.84983	2.03E-01		1545.84983	8.03E-01		1545.84983	4.36E-01		1545.84983	0.5027865	4.36E-01	6.67E-02	0.152981711861491	6.00E-01
1548.15251	1.88E-01		1548.15251	7.52E-01		1548.15251	4.07E-01		1548.15251	0.4701775	4.07E-01	6.35E-02	0.156272747840799	5.65E-01
1550.4552	1.74E-01		1550.4552	7.05E-01		1550.4552	3.79E-01		1550.4552	0.4396775	3.79E-01	6.05E-02	0.159584933327707	5.31E-01
