run num,date,starttime ,,starttime ,start time,endtime ,duration,Acc power,exp. target,HD-Target ,Beam Pol,K1.8D1,K1.8mom,ESS,"CM
(1/2)",beam,Trig,1st trig Req,1st trig Acc,Solenoid,Ushiwaka,FT,SYIM,TM,beam,kaon,pion,MomS+,MomS-,MS+,MS-,IF-H +,IF-H-,IF-V +,IF-V-,DEF,Comment,Log Note,k- purity,"K- on target 
(DEF)","K- on target
(DEF*0.7)","Integrated K- on target
(DEF*0.7)",integrated time,kW*week,integrated kW*week,achievement rate,CDH1*K*n scaler,CDH1*K*p scaler,DAQ eff.,CDH1*K*n,CDH1*K*p,integrated CDH1*K*n,integrated CDH1*K*p
16,########,9:55,00:00:00,09:55:00,2016/5/30 9:21,2016/5/30 9:23,00:01:58,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -1200A,,,,,,,,,,,,,,,,
17,########,9:23,00:00:00,09:23:00,2016/5/30 9:23,2016/5/30 9:25,00:01:59,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -900A,,,,,,,,,,,,,,,,
18,########,11:00,00:00:00,11:00:00,2016/5/30 9:26,2016/5/30 9:31,00:05:20,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -600A,,,,,,,,,,,,,,,,
19,########,11:35,00:00:00,11:35:00,2016/5/30 9:31,2016/5/30 9:33,00:01:56,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  -300A,,,,,,,,,,,,,,,,
20,########,12:05,00:00:00,12:05:00,2016/5/30 9:34,2016/5/30 9:36,00:01:55,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  0A,,,,,,,,,,,,,,,,
21,########,13:09,00:00:00,13:09:00,2016/5/30 9:36,2016/5/30 9:42,00:05:22,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  350A,,,,,,,,,,,,,,,,
22,,,,,2016/5/30 9:42,2016/5/30 9:54,00:11:29,41.83,,Au,negative,-369,1.0 ,200 ,420,p,p,,,00:00:00,00:00:00,,,,,,,32.4,-99.9,3.3,-1.41,109.8,-110.1,3.82,-0.22,on,[Ushiwaka scan with pbar]  7000A,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[junk],,,,,,,,,,,,,,,,
24,########,14:15,00:00:00,14:15:00,2016/5/31 2:25,2016/5/31 2:27,00:02:36,42,,Au,negative,,0.9 ,,,K,"beam/10, K/1",,,,,,,,,,,,,,,,,,,,[BLDC Vth scan] BLC1=1.1 / BLC2=0.55 / BPC=0.3 / FDC=0.2 (default),,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[junk],,,,,,,,,,,,,,,,
26,########,15:29,00:00:00,15:29:00,2016/5/31 2:28,2016/5/31 2:31,00:02:46,42,,Au,negative,,0.9 ,,,K,"beam/10, K/1",,,,,,,,,,,,,,,,,,,,[BLDC Vth scan] BLC1=0.9 / BLC2=0.45 / BPC=0.2 / FDC=0.1,,,,,,,,,,,,,,,,
27,########,16:00,00:00:00,16:00:00,2016/5/31 2:31,2016/5/31 2:34,00:02:50,42,,Au,negative,,0.9 ,,,K,"beam/10, K/1",,,,,,,,,,,,,,,,,,,,[BLDC Vth scan] BLC1=0.95 / BLC2=0.47 / BPC=0.22 / FDC=0.12,,,,,,,,,,,,,,,,
28,,,,,2016/5/31 2:34,2016/5/31 2:37,00:02:54,42,,Au,negative,,0.9 ,,,K,"beam/10, K/1",,,,,,,,,,,,,,,,,,,,[BLDC Vth scan] BLC1=1.0 / BLC2=0.5 / BPC=0.25 / FDC=0.15,,,,,,,,,,,,,,,,
29,########,17:03,00:00:00,17:03:00,2016/5/31 2:37,2016/5/31 2:40,00:02:49,42,,Au,negative,,0.9 ,,,K,"beam/10, K/1",,,,,,,,,,,,,,,,,,,,[BLDC Vth scan] BLC1=1.05 / BLC2=0.52 / BPC=0.27 / FDC=0.17,,,,,,,,,,,,,,,,
30,########,17:35,00:00:00,17:35:00,2016/5/31 2:41,2016/5/31 2:41,00:00:00,42,,Au,negative,,0.9 ,,,K,"beam/10, K/1",,,,,,,,,,,,,,,,,,,,[BLDC Vth scan] BLC1=1.2 / BLC2=0.6 / BPC=0.35 / FDC=0.3,,,,,,,,,,,,,,,,
31,,,,,2016/5/31 4:54,2016/5/31 4:56,00:02:01,42,,Au,negative,,0.9 ,,,K,beam,,,,,,,,,,,,,,,,,,,,[BPD calib] D5=-1363A,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[junk],,,,,,,,,,,,,,,,
33,########,20:07,00:00:00,20:07:00,2016/6/5 3:31,2016/6/5 3:31,00:00:00,40.47,,Au,negative,-369,1.0 ,200 ,345,K,"beam/5, K/1",,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-100,3.29,-1.4,109.8,-110.1,3.79,-0.25,on,[beam record],,,,,,,,,,,,,,,,
34,########,20:36,00:00:00,20:36:00,2016/6/5 3:31,2016/6/5 3:31,00:00:00,40.47,,Au,negative,-369,1.0 ,200 ,345,K,beam,,,,,,,,,,,,,,,,,,,,[BPD calib] D5=upper-side,,,,,,,,,,,,,,,,
35,,,,,2016/6/5 22:13,2016/6/5 22:13,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,"beam/10, K/1",,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,on,[beam record] DEF=ON,,23:28:08,,,,,,,,,,,,,,
36,########,21:38,00:00:00,21:38:00,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,"beam/10, K/1",,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,off,[beam record] DEF=OFF,,17:21:43,,,,,,,,,,,,,,
37,########,22:10,00:00:00,22:10:00,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,beam/5,,,,,,,,,,,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,,[BPD calib] D5=-1863A,,,,,,,,,,,,,,,,
38,########,22:47,00:00:00,22:47:00,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,beam/5,,,,,,,,,,,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,,[BPD calib] D5=-1363A,,,,,,,,,,,,,,,,
39,,,,,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,pi,,,,00:00:00,,,,,,,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,,[Ushiwaka scan ]  -1900A,,,,,,,,,,,,,,,,
40,,,,,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,pi,,,,00:00:00,,,,,,,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,,[Ushiwaka scan ]  -1550A,,,,,,,,,,,,,,,,
41,,,,,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,pi,,,,00:00:00,,,,,,,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,,[Ushiwaka scan ]  -1200A,,,,,,,,,,,,,,,,
42,,,,,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,pi,,,,00:00:00,,,,,,,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,,[Ushiwaka scan ]  -900A,,,,,,,,,,,,,,,,
43,,,,,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,pi,,,,00:00:00,,,,,,,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,,[Ushiwaka scan ]  -600A,,,,,,,,,,,,,,,,
44,,,,,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,pi,,,,00:00:00,,,,,,,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,,[Ushiwaka scan ]  -300A,,,,,,,,,,,,,,,,
45,,,,,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,pi,,,,00:00:00,,,,,,,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,,"[Ushiwaka scan ]  0A, BHD-HV was changed: (8t) 1420->1470, (10t) 1490->1540",,,,,,,,,,,,,,,,
46,,,,,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,pi,,,,00:00:00,,,,,,,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,,[Ushiwaka scan ]  350A,,,,,,,,,,,,,,,,
47,,,,,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,pi,,,,00:00:00,,,,,,,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,,[Ushiwaka scan ]  700A,,,,,,,,,,,,,,,,
48,,,,,2016/6/5 22:15,2016/6/5 22:15,00:00:00,40.87,D2,Au,negative,-369,1.0 ,200 ,345,K,"beam/10, K/1",,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,on,[beam record],,23:24:08,,,,,,,,,,,,,,
49,,,,,2016/6/5 23:59,2016/6/6 0:58,00:56:15,41.17,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, pi/10*vBVC, K/20*vBVC, K/15k, beam/70k) x (NC*vCVC*vBVC, charge, CDH1*K/60, CDH2*K/10, CDH3*K/5, beam/70k, K/15k)",11k,7k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,on,[D2 production] BHD-HV was changed: (10t) 1540->1570,,23:29:46,109.6M,76.7M,76.7M,0:56,0.23 ,0.23 ,,,,,,,,
50,,,,,2016/6/6 0:59,2016/6/6 1:11,00:12:13,41.17,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, pi/10*vBVC, K/20*vBVC, K/15k, beam/70k) x (NC*vCVC*vBVC, charge, CDH1*K/120, CDH2*K/20, beam/70k, K/15k)",10k,7.7k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.29,-1.41,109.8,-110.1,3.82,-0.25,on,[D2 production] CDH3 was removed,,23:29:46,23.2M,16.3M,93.0M,1:08,0.05 ,0.28 ,,,,,,,,
51,,,,,2016/6/6 1:22,2016/6/6 1:57,00:34:50,41.15,D2,Au,negative,-369,1.0 ,200 ,345,K,"(CDH1*K, pi/10*vBVC, K/20*vBVC, K/15k, beam/70k) x (NC*vCVC*vBVC, charge, CDH1*K/120, CDH2*K/20, beam/70k, K/15k)",10k,7.9k,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,160.1,-109.9,3.3,-1.41,109.8,-110.1,3.82,-0.25,on,[D2 production],,23:29:46,66.1M,46.3M,139.3M,1:43,0.14 ,0.42 ,,,,,,,,
52,,,,,2016/6/6 1:57,2016/6/6 1:57,00:00:00,41.15,D2,Au,negative,-369,1.0 ,200 ,345,K,(CDH1*K) x (NC*vCVC*vBVC),,,,,,,,,,,160.1,-109.9,3.3,-1.41,109.8,-110.1,3.82,-0.25,on,[under trigger tuning],,,,,,,,,,,,,,,,
